maker	keyword	brand	series	collaboration	priority
geekom	nuc a8	GEEKOM	A8		100
gmktec	m5 plus	GMKtec	M5 Plus		100
gmktec	nucbox m5 plus	GMKtec	M5 Plus		100
gmktec	neo-x1	GMKtec	NEO		100
gmktec	evo-x3	GMKtec	EVO		100
gmktec	evo-x2	GMKtec	EVO		100
gmktec	evo-x1	GMKtec	EVO		100
gmktec	evo-x1 pro	GMKtec	EVO		100
gmktec	evo-t1	GMKtec	EVO		100
gmktec	evo-t2	GMKtec	EVO		100
gmktec	k17	GMKtec	K		100
gmktec	k13	GMKtec	K		100
gmktec	k16	GMKtec	K		100
gmktec	k15	GMKtec	K		100
gmktec	k12	GMKtec	K		100
gmktec	k8 plus	GMKtec	K		100
gmktec	k11	GMKtec	K		100
gmktec	k10	GMKtec	K		100
gmktec	m3 pro	GMKtec	M		100
gmktec	m2 pro s	GMKtec	M		100
gmktec	m8	GMKtec	M		100
gmktec	m6 ultra	GMKtec	M		100
gmktec	m7 ultra	GMKtec	M		100
gmktec	m5 ultra	GMKtec	M		100
gmktec	m3 ultra	GMKtec	M		100
gmktec	g5s	GMKtec	G		100
gmktec	g11	GMKtec	G		100
gmktec	g10	GMKtec	G		100
gmktec	g3s	GMKtec	G		100
gmktec	g3 pro	GMKtec	G		100
gmktec	g3 plus	GMKtec	G		100
minisforum	um	MINISFORUM	UM		100
minisforum	um780	MINISFORUM	UM780		100
minisforum	um790	MINISFORUM	UM790		100
minisforum	um890	MINISFORUM	UM890		100
minisforum	um870	MINISFORUM	UM870		100
minisforum	um760	MINISFORUM	UM760		100
minisforum	um690	MINISFORUM	UM690		100
minisforum	um773	MINISFORUM	UM773		100
minisforum	um790 pro	MINISFORUM	UM790 Pro		100
minisforum	um890 pro	MINISFORUM	UM890 Pro		100
minisforum	um780 xtx	MINISFORUM	UM780 XTX		100
minisforum	um790 xtx	MINISFORUM	UM790 XTX		100
minisforum	um880 pro	MINISFORUM	UM880 Pro		100
minisforum	um870 slim	MINISFORUM	UM870 Slim		100
minisforum	um773 lite	MINISFORUM	UM773 Lite		100
minisforum	venus	MINISFORUM	Venus		100
minisforum	elitemini	MINISFORUM	EliteMini		100
minisforum	elitemini um	MINISFORUM	EliteMini UM		100
minisforum	elitemini hx	MINISFORUM	EliteMini HX		100
minisforum	elitemini b	MINISFORUM	EliteMini B		100
minisforum	elitemini ai	MINISFORUM	EliteMini AI		100
minisforum	neptune	MINISFORUM	Neptune		100
minisforum	neptune hx	MINISFORUM	Neptune HX		100
minisforum	neptune hx99g	MINISFORUM	Neptune HX99G		100
minisforum	neptune hx90g	MINISFORUM	Neptune HX90G		100
minisforum	neptune hx80g	MINISFORUM	Neptune HX80G		100
minisforum	neptune hx77g	MINISFORUM	Neptune HX77G		100
minisforum	atomman	MINISFORUM	AtomMan		100
minisforum	atomman g7	MINISFORUM	AtomMan G7		100
minisforum	atomman g7 pt	MINISFORUM	AtomMan G7 PT		100
minisforum	atomman g7 ti	MINISFORUM	AtomMan G7 Ti		100
minisforum	atomman g1	MINISFORUM	AtomMan G1		100
minisforum	atomman x7	MINISFORUM	AtomMan X7		100
minisforum	atomman x7 ti	MINISFORUM	AtomMan X7 Ti		100
minisforum	ai x1	MINISFORUM	AI X1		100
minisforum	ai x1 pro	MINISFORUM	AI X1 Pro		100
minisforum	ai x1 mini	MINISFORUM	AI X1 Mini		100
minisforum	n5	MINISFORUM	N5		100
minisforum	n5 pro	MINISFORUM	N5 Pro		100
minisforum	n5 air	MINISFORUM	N5 Air		100
minisforum	ms	MINISFORUM	MS		100
minisforum	ms-a1	MINISFORUM	MS-A1		100
