category,name,price,url,image_url
Motherboard,MSI PRO A620M-E,12840,https://shop.tsukumo.co.jp/goods/4526541046100/,https://cdn.tsukumo.co.jp/image/item/4526541046100_1.jpg
Notebook,MSI Summit-E13-AI-Evo-A1MTG-4099JP　[ 13.3型 / WUXGA タッチパネル / Core Ultra 7 155H / RAM:16GB / SSD:512GB / Windows 11 Pro / インクブラック ],179800,https://shop.tsukumo.co.jp/goods/0406657175014/,https://cdn.tsukumo.co.jp/image/item/0406657175014_1.jpg
Cooler,MSI MAG CORELIQUID E240,12400,https://shop.tsukumo.co.jp/goods/4526541047572/,https://cdn.tsukumo.co.jp/image/item/4526541047572_1.jpg
Monitor,MSI Modern MD272UPSW 27インチ 4K スマートモニター IPSパネル,41800,https://shop.tsukumo.co.jp/goods/0406622093015/,https://cdn.tsukumo.co.jp/image/item/0406622093015_1.jpg
Monitor,MSI PRO MP273AP 27インチ フルHD 液晶モニター IPSパネル 高さ調整可,22800,https://shop.tsukumo.co.jp/goods/0406620896014/,https://cdn.tsukumo.co.jp/image/item/0406620896014_1.jpg
Other,MSI FORCE GC300 W ワイヤレス ゲームコントローラー,6705,https://shop.tsukumo.co.jp/goods/0824142370841/,https://cdn.tsukumo.co.jp/image/item/0824142370841_1.jpg
Motherboard,MSI MPG Z890 EDGE TI WIFI,55481,https://shop.tsukumo.co.jp/goods/4526541055652/,https://cdn.tsukumo.co.jp/image/item/4526541055652_1.jpg
Cooler,MSI MAG CORELIQUID I240 WHITE,14980,https://shop.tsukumo.co.jp/goods/4711377233194/,https://cdn.tsukumo.co.jp/image/item/4711377233194_1.jpg
Motherboard,MSI PRO B650M-A WIFI　【PCIe 4.0対応】,22092,https://shop.tsukumo.co.jp/goods/4526541043642/,https://cdn.tsukumo.co.jp/image/item/4526541043642_1.jpg
Motherboard,MSI H810M GAMING WIFI6E,21973,https://shop.tsukumo.co.jp/goods/4711377358651/,https://cdn.tsukumo.co.jp/image/item/4711377358651_1.jpg
Motherboard,MSI PRO A620AM-B EVO,13973,https://shop.tsukumo.co.jp/goods/4711377397216/,https://cdn.tsukumo.co.jp/image/item/4711377397216_1.jpg
Peripheral,MSI VERSA 300 WIRELESS WHITE USB有線/USB無線/Bluetooth対応 ゲーミングマウス,3980,https://shop.tsukumo.co.jp/goods/0824142392096/,https://cdn.tsukumo.co.jp/image/item/0824142392096_1.jpg
Cooler,MSI MAG CORELIQUID I240,14980,https://shop.tsukumo.co.jp/goods/4711377233187/,https://cdn.tsukumo.co.jp/image/item/4711377233187_1.jpg
Notebook,MSI ゲーミングノート Stealth-A16-AI+A3XWIG-6455JP [16型 /Ryzen AI 9 HX 370 /RTX5080 /RAM:64GB /SSD:1TB /WQXGA (240Hz) 有機EL /Windows 11 Pro /コアブラック],539800,https://shop.tsukumo.co.jp/goods/0409090024017/,https://cdn.tsukumo.co.jp/image/item/0409090024017_1.jpg
Graphics Card,MSI GeForce RTX 5060 Ti 8G GAMING OC,70741,https://shop.tsukumo.co.jp/goods/4711377336796/,https://cdn.tsukumo.co.jp/image/item/4711377336796_1.jpg
Peripheral,MSI VERSA 300 ELITE WIRELESS WHITE USB有線/USB無線/Bluetooth対応 ゲーミングマウス,7980,https://shop.tsukumo.co.jp/goods/0824142392102/,https://cdn.tsukumo.co.jp/image/item/0824142392102_1.jpg
Other,MSI EdgeXpert QSFP cable　956-C931-101,13200,https://shop.tsukumo.co.jp/goods/4526541061905/,https://cdn.tsukumo.co.jp/image/item/4526541061905_1.jpg
Other,MSI EdgeXpert（1TBストレージ）　[ 20core Arm / RAM:128GB / SSD:1TB / NVIDIA DGX OS ]　9S6-C9311-63S,547800,https://shop.tsukumo.co.jp/goods/4526541061936/,https://cdn.tsukumo.co.jp/image/item/4526541061936_1.jpg
Notebook,MSI ポータブルゲーミングPC Claw-8-AI+A2VM-Super-Pack-301JP　[8型 /Core Ultra 7 258V /RAM:32GB /SSD:1TB /WUXGA (120Hz) タッチパネル /Windows 11 Home /ブラック＆サンドストーム],179800,https://shop.tsukumo.co.jp/goods/0409090774011/,https://cdn.tsukumo.co.jp/image/item/0409090774011_1.jpg
Cooler,MSI MAG CORELIQUID E360 MONSTER HUNTER EDITION,25980,https://shop.tsukumo.co.jp/goods/4526541051432/,https://cdn.tsukumo.co.jp/image/item/4526541051432_1.jpg
Case,MSI MPG GUNGNIR 300 MONSTER HUNTER EDITION,29980,https://shop.tsukumo.co.jp/goods/4526541051531/,https://cdn.tsukumo.co.jp/image/item/4526541051531_1.jpg
Motherboard,MSI MEG Z890 UNIFY-X,122980,https://shop.tsukumo.co.jp/goods/4526541055812/,https://cdn.tsukumo.co.jp/image/item/4526541055812_1.jpg
